Date,ZScore_Sum_W,ZScore_Sum_M
2023-05-21,4.68,
2023-05-28,1.75,
2023-06-04,5.92,
2023-06-11,2.51,
2023-06-18,1.4300000000000002,
2023-06-25,1.5499999999999998,
2023-07-02,2.16,
2023-07-09,2.76,
2023-07-16,4.75,
2023-07-23,15.67,
2023-07-30,4.14,
2023-08-06,3.7,
2023-08-13,0.33,
2023-08-20,1.16,
2023-08-27,-0.42999999999999994,
2023-09-03,0.92,
2023-09-10,0.49,
2023-09-17,2.25,
2023-09-24,0.43000000000000005,
2023-10-01,0.10999999999999999,
2023-10-08,0.18,
2023-10-15,4.800000000000001,
2023-10-22,0.83,
2023-10-29,0.67,
2023-11-05,-1.68,
2023-11-12,-1.97,
2023-11-19,1.67,
2023-11-26,-0.98,
2023-12-03,1.3699999999999999,
2023-12-10,0.96,
2023-12-17,5.72,
2023-12-24,0.7200000000000001,
2023-12-31,0.07,7.23
2024-01-07,2.3200000000000003,
2024-01-14,4.71,
2024-01-21,4.32,
2024-01-28,3.8899999999999997,
2024-02-04,1.62,
2024-02-11,0.94,
2024-02-18,-0.5700000000000001,
2024-02-25,-0.24,
2024-03-03,0.1299999999999999,
2024-03-10,1.23,
2024-03-17,4.04,
2024-03-24,4.5600000000000005,
2024-03-31,3.3,12.809999999999999
2024-04-07,1.6099999999999999,
2024-04-14,4.22,
2024-04-21,10.81,
2024-04-28,2.5300000000000002,
2024-05-05,3.22,
2024-05-12,2.96,
2024-05-19,0.5899999999999999,
2024-05-26,2.69,
2024-06-02,10.54,
2024-06-09,11.379999999999999,
2024-06-16,2.91,
2024-06-23,3.67,
2024-06-30,4.21,22.17
2024-07-07,4.36,
2024-07-14,6.52,
2024-07-21,6.57,
2024-07-28,4.24,
2024-08-04,1.17,
2024-08-11,2.8000000000000003,
2024-08-18,1.5899999999999999,
2024-08-25,-0.6,
2024-09-01,2.8699999999999997,
2024-09-08,0.67,
2024-09-15,1.85,
2024-09-22,2.5100000000000002,
2024-09-29,4.51,
2024-10-06,2.16,
2024-10-13,0.3,
2024-10-20,0.97,
2024-10-27,-0.7100000000000001,
2024-11-03,1.56,
2024-11-10,1.61,
2024-11-17,0.29,
2024-11-24,0.58,
2024-12-01,3.9899999999999998,
2024-12-08,0.07000000000000003,
2024-12-15,0.67,
2010-03-31,,-15.73
2010-04-30,,-15.200000000000001
2010-05-31,,-16.64
2010-06-30,,-18.06
2010-07-31,,-17.54
2010-08-31,,-18.52
2010-09-30,,-15.43
2010-11-30,,-16.93
2010-12-31,,-18.01
2011-01-31,,-15.31
2011-02-28,,-15.55
2011-03-31,,-17.02
2011-04-30,,-9.540000000000001
2011-05-31,,-15.65
2011-06-30,,-17.1
2011-08-31,,-13.78
2011-09-30,,-15.53
2011-10-31,,-12.47
2011-11-30,,-16.09
2011-12-31,,-16.3
2012-01-31,,-15.68
2012-02-29,,-15.18
2012-03-31,,-17.38
2012-04-30,,-10.2
2012-05-31,,-16.61
2012-06-30,,-16.68
2012-07-31,,-14.92
2012-08-31,,-17.01
2012-10-31,,-15.81
2012-11-30,,-16.14
2012-12-31,,-14.67
2013-01-31,,-13.81
2013-02-28,,-14.94
2013-04-30,,-11.64
2013-05-31,,-18.4
2013-07-31,,-17.01
2013-08-31,,-13.7
2013-09-30,,-13.55
2013-10-31,,-14.89
2013-11-30,,-16.13
2013-12-31,,-15.38
2014-01-31,,-14.69
2014-02-28,,-14.76
2014-03-31,,-14.32
2014-04-30,,-12.49
2014-05-31,,-14.0
2014-06-30,,-14.96
2014-07-31,,-17.2
2014-09-30,,-16.49
2014-10-31,,-11.55
2014-12-31,,6.59
2015-01-31,,-7.42
2015-02-28,,-11.5
2015-03-31,,-12.12
2015-04-30,,-5.82
2015-06-30,,-8.78
2015-07-31,,-2.38
2015-08-31,,0.69
2015-09-30,,-0.09000000000000005
2015-10-31,,-0.84
2015-11-30,,-6.25
2015-12-31,,-8.110000000000001
2016-02-29,,-8.83
2016-03-31,,-0.9400000000000002
2016-04-30,,-3.0900000000000003
2016-05-31,,-8.25
2016-06-30,,-4.73
2016-08-31,,-1.82
2016-09-30,,-3.8400000000000003
2016-10-31,,-5.84
2016-11-30,,0.40000000000000013
