Date,Symbol,Prev Close,Open,High,Low,vwap,Open Interest,Expiry,Volume,Trades,Deliverable Volume,DeiiveryToTrade,%Deliverble,Z-ScoreDelVolume,DeliveryStatus,Trades_Diff,MWPL,MWPL_Diff,Close,Close_Diff,Close_Future,FuturePremium,Change in OI,OI_CUMI,OI_Rank,Position,BuyingPressure,SellingPressure,fluctuates,Change,Return,Volatility,Expected Change,Magnitude,Abs Magnitude,EWMA20BUYPRE,EWMA50BUYPRE,EWMA20SELLPRE,EWMA50SELLPRE,EWMA20_DEL,EWMA50_DEL,EWMA20_VOL,EWMA50_VOL,EWMA20_OI,EWMA50_OI,DEL2TRADE20,DEL2TRADE50
2022-09-08,SRTRANSFIN,1366.6,1374.0,1385.9,1356.0,1370.04,3700200,2022-09-29,636922.0,24574.0,251904.0,-16.14,39.550000000000004,-0.57,85.0,73.0,78.19,-2.02,1361.45,-25.0,1367.45,6.0,85800,759600,195.0,ShortBuildUp,5.45,29.4,2.19,-5.149999999999864,-0.0037755951084621486,0.017960005880890494,24.867763790544153,-0.20709542053628988,0.20709542053628988,27.9,30.78,27.69,28.95,334469.07,373575.28,806094.54,901879.73,3476875.65,3474100.61,27.93,28.59
2022-09-09,SRTRANSFIN,1361.45,1369.95,1375.0,1320.0,1336.31,3665400,2022-09-29,604552.0,26936.0,255231.0,1.32,42.22,-0.56,138.0,156.0,77.31,-0.88,1324.1,-40.600000000000136,1326.85,2.75,-34800,724800,87.0,LongUnwinding,4.1,61.8,4.04,-37.350000000000136,-0.027817324892504658,0.018961960476043187,24.45165000653836,-1.527504278443899,1.527504278443899,25.63,29.73,30.94,30.24,326922.59,368926.61,786900.01,890200.43,3494830.35,3481615.02,27.4,28.34
2022-09-12,SRTRANSFIN,1324.1,1331.25,1334.35,1310.0,1320.31,3650400,2022-09-29,949073.0,21205.0,514026.0,101.4,54.16,0.17,209.0,62.0,76.1,-1.21,1328.5,9.600000000000136,1336.45,7.9500000000000455,-15000,709800,150.0,ShortCovering,18.5,46.5,1.84,4.400000000000091,0.003317502854157439,0.01813654479701985,25.107531866328785,0.17524621788495445,0.17524621788495445,24.95,29.29,32.42,30.88,344741.96,374625.87,802345.06,892512.85,3509646.51,3488244.61,29.06,28.99
2022-09-13,SRTRANSFIN,1328.5,1335.0,1350.0,1323.65,1333.45,3703800,2022-09-29,719661.0,24846.0,295692.0,-42.48,41.089999999999996,-0.45,45.0,165.0,75.68,-0.42,1332.6,0.6499999999998636,1337.1,4.5,53400,763200,20.0,LongBuildUp,22.6,17.4,1.98,4.099999999999909,0.003081434928568605,0.018138068056552208,24.094399762840872,0.1701640231902791,0.1701640231902791,24.73,29.03,30.99,30.35,340070.54,371525.68,794470.39,885723.94,3528137.32,3496710.74,29.05,28.99
2022-09-14,SRTRANSFIN,1332.6,1323.35,1354.45,1315.1,1338.14,3769800,2022-09-29,737832.0,20983.0,290218.0,-1.85,39.33,-0.46,108.0,78.0,75.7,0.02,1334.65,2.3000000000001815,1339.4,4.75,66000,829200,182.0,LongBuildUp,19.55,19.8,2.95,2.050000000000182,0.0015371640481074422,0.018040973751886902,24.17078949216147,0.08481311711663336,0.08481311711663336,24.24,28.66,29.92,29.93,335322.68,368332.44,789076.26,879915.71,3551152.82,3507435.91,29.63,29.23
2022-09-15,SRTRANSFIN,1334.65,1341.35,1374.0,1313.0,1339.88,3778800,2022-09-29,952019.0,32269.0,351484.0,21.11,36.919999999999995,-0.29,164.0,209.0,74.97,-0.73,1325.95,-9.350000000000136,1330.05,4.099999999999909,9000,838200,126.0,ShortBuildUp,12.95,48.05,4.57,-8.700000000000045,-0.006539901532327086,0.016957476103038535,24.078385617955856,-0.3613199048324999,0.3613199048324999,23.16,28.04,31.65,30.64,336861.85,367670.78,804594.61,882747.29,3572833.5,3518092.72,29.62,29.24
2022-09-16,SRTRANSFIN,1325.95,1329.8,1338.0,1268.0,1293.11,3746400,2022-09-29,1023437.0,29132.0,459662.0,30.78,44.91,0.02,172.0,92.0,74.68,-0.29,1284.05,-84.60000000000014,1288.8,4.75,-32400,805800,19.0,LongUnwinding,16.05,89.95,5.28,-41.90000000000009,-0.032110038342515246,0.018216205660482945,22.484765438823946,-1.8634839715806992,1.8634839715806992,22.48,27.57,37.2,32.97,348557.1,371283.19,825436.75,888272.04,3589363.65,3527058.13,30.14,29.47
2022-09-19,SRTRANSFIN,1284.05,1287.0,1308.3,1280.1,1292.48,3651600,2022-09-29,393841.0,18113.0,134142.0,-70.82,34.06,-0.91,10.0,30.0,75.17,0.49,1286.9,-0.25,1288.55,1.6499999999998636,-94800,711000,210.0,LongUnwinding,18.9,51.1,2.2,2.8500000000001364,0.0022170801979175536,0.018234346299478014,23.390518878343126,0.12184424017369284,0.12184424017369284,22.14,27.23,38.53,33.68,328136.62,361971.37,784332.39,868857.24,3595290.92,3531948.51,29.34,29.17
2022-09-20,SRTRANSFIN,1286.9,1295.2,1318.5,1290.0,1304.3,3629400,2022-09-29,761700.0,27799.0,328872.0,145.17,43.18,-0.35,214.0,208.0,75.57,0.4,1296.1,11.450000000000045,1300.0,3.900000000000091,-22200,688800,136.0,ShortCovering,16.0,22.4,2.21,9.199999999999818,0.007123529929709882,0.01834782341222178,23.465780252798258,0.392060263962573,0.392060263962573,21.56,26.79,36.99,33.24,328206.65,360671.73,782176.92,864649.71,3598539.4,3535774.94,29.16,29.1
2022-09-21,SRTRANSFIN,1296.1,1299.75,1309.95,1263.0,1277.53,3750000,2022-09-29,755997.0,33251.0,410418.0,24.8,54.290000000000006,-0.12,167.0,172.0,75.4,-0.17,1272.8,-24.5,1275.5,2.7000000000000455,120600,809400,13.0,ShortBuildUp,9.8,45.7,3.62,-23.299999999999955,-0.01814055740575249,0.017934245377638436,23.78061392458065,-0.9797896754850424,0.9797896754850424,20.44,26.12,37.82,33.73,336036.31,362624.92,779683.6,860383.68,3612964.22,3544186.06,28.55,28.85
